date,kWh
1/1/16 0:15,18373.763
1/1/16 0:30,18424.742
1/1/16 0:45,18353.109
1/1/16 1:00,18191.624
1/1/16 1:15,18215.079
1/1/16 1:30,18227.768
1/1/16 1:45,18175.816
1/1/16 2:00,18419.794
1/1/16 2:15,18590.623
1/1/16 2:30,18615.215
1/1/16 2:45,18477.527
1/1/16 3:00,18538.812
1/1/16 3:15,18592.625
1/1/16 3:30,18591.051
1/1/16 3:45,18581.734
1/1/16 4:00,18228.299
1/1/16 4:15,18122.574
1/1/16 4:30,18107.263
1/1/16 4:45,18064.536
1/1/16 5:00,18289.729
1/1/16 5:15,18381.826
1/1/16 5:30,18514.121
1/1/16 5:45,18635.544
1/1/16 6:00,19274.012
1/1/16 6:15,19573.126
1/1/16 6:30,19836.615
1/1/16 6:45,19927.717
1/1/16 7:00,20048.867
1/1/16 7:15,19989.774
1/1/16 7:30,19872.242
1/1/16 7:45,19602.702
1/1/16 8:00,18610.783
1/1/16 8:15,18335.985
1/1/16 8:30,18220.996
1/1/16 8:45,18077.939
1/1/16 9:00,18481.797
1/1/16 9:15,18831.609
1/1/16 9:30,19178.747
1/1/16 9:45,19380.598
1/1/16 10:00,19674.902
1/1/16 10:15,19971.953
1/1/16 10:30,20139.046
1/1/16 10:45,20328.96
1/1/16 11:00,20419.185
1/1/16 11:15,20598.156
1/1/16 11:30,20845.841
1/1/16 11:45,21021.962
1/1/16 12:00,21231.146
1/1/16 12:15,22004.027
1/1/16 12:30,22882.01
1/1/16 12:45,23531.846
1/1/16 13:00,23909.042
1/1/16 13:15,24010.23
1/1/16 13:30,23875.596
1/1/16 13:45,23788.643
1/1/16 14:00,23372.167
1/1/16 14:15,22755.622
1/1/16 14:30,21854.417
1/1/16 14:45,21715.139
1/1/16 15:00,21603.92
1/1/16 15:15,21377.84
1/1/16 15:30,20774.742
1/1/16 15:45,20329.7
1/1/16 16:00,20035.214
1/1/16 16:15,19528.742
1/1/16 16:30,19238.352
1/1/16 16:45,19054.825
1/1/16 17:00,19151.428
1/1/16 17:15,19221.186
1/1/16 17:30,18961.935
1/1/16 17:45,18814.641
1/1/16 18:00,18688.826
1/1/16 18:15,18915.726
1/1/16 18:30,18913.988
1/1/16 18:45,19102.105
1/1/16 19:00,19690.079
1/1/16 19:15,19790.188
1/1/16 19:30,19860.029
