time,consommation
01.01.2015 00:00 - 01.01.2015 01:00,7597
01.01.2015 01:00 - 01.01.2015 02:00,7632
01.01.2015 02:00 - 01.01.2015 03:00,7640
01.01.2015 03:00 - 01.01.2015 04:00,7391
01.01.2015 04:00 - 01.01.2015 05:00,7333
01.01.2015 05:00 - 01.01.2015 06:00,7002
01.01.2015 06:00 - 01.01.2015 07:00,7043
01.01.2015 07:00 - 01.01.2015 08:00,6837
01.01.2015 08:00 - 01.01.2015 09:00,6617
01.01.2015 09:00 - 01.01.2015 10:00,6560
01.01.2015 10:00 - 01.01.2015 11:00,6810
01.01.2015 11:00 - 01.01.2015 12:00,6837
01.01.2015 12:00 - 01.01.2015 13:00,6611
01.01.2015 13:00 - 01.01.2015 14:00,7136
01.01.2015 14:00 - 01.01.2015 15:00,7071
01.01.2015 15:00 - 01.01.2015 16:00,7079
01.01.2015 16:00 - 01.01.2015 17:00,7075
01.01.2015 17:00 - 01.01.2015 18:00,7323
01.01.2015 18:00 - 01.01.2015 19:00,7617
01.01.2015 19:00 - 01.01.2015 20:00,7801
01.01.2015 20:00 - 01.01.2015 21:00,7706
01.01.2015 21:00 - 01.01.2015 22:00,7445
01.01.2015 22:00 - 01.01.2015 23:00,7358
01.01.2015 23:00 - 02.01.2015 00:00,7449
02.01.2015 00:00 - 02.01.2015 01:00,7234
02.01.2015 01:00 - 02.01.2015 02:00,7064
02.01.2015 02:00 - 02.01.2015 03:00,7044
02.01.2015 03:00 - 02.01.2015 04:00,7184
02.01.2015 04:00 - 02.01.2015 05:00,7104
02.01.2015 05:00 - 02.01.2015 06:00,6972
02.01.2015 06:00 - 02.01.2015 07:00,6786
02.01.2015 07:00 - 02.01.2015 08:00,6780
02.01.2015 08:00 - 02.01.2015 09:00,6692
02.01.2015 09:00 - 02.01.2015 10:00,6817
02.01.2015 10:00 - 02.01.2015 11:00,7097
02.01.2015 11:00 - 02.01.2015 12:00,7205
02.01.2015 12:00 - 02.01.2015 13:00,7120
02.01.2015 13:00 - 02.01.2015 14:00,7516
02.01.2015 14:00 - 02.01.2015 15:00,7446
02.01.2015 15:00 - 02.01.2015 16:00,7307
02.01.2015 16:00 - 02.01.2015 17:00,7276
02.01.2015 17:00 - 02.01.2015 18:00,7504
02.01.2015 18:00 - 02.01.2015 19:00,8060
02.01.2015 19:00 - 02.01.2015 20:00,8157
02.01.2015 20:00 - 02.01.2015 21:00,7919
02.01.2015 21:00 - 02.01.2015 22:00,7545
02.01.2015 22:00 - 02.01.2015 23:00,7372
02.01.2015 23:00 - 03.01.2015 00:00,7378
03.01.2015 00:00 - 03.01.2015 01:00,7100
03.01.2015 01:00 - 03.01.2015 02:00,6934
03.01.2015 02:00 - 03.01.2015 03:00,6927
03.01.2015 03:00 - 03.01.2015 04:00,6984
03.01.2015 04:00 - 03.01.2015 05:00,6916
03.01.2015 05:00 - 03.01.2015 06:00,6750
03.01.2015 06:00 - 03.01.2015 07:00,6855
03.01.2015 07:00 - 03.01.2015 08:00,6891
03.01.2015 08:00 - 03.01.2015 09:00,6874
03.01.2015 09:00 - 03.01.2015 10:00,6967
03.01.2015 10:00 - 03.01.2015 11:00,7213
03.01.2015 11:00 - 03.01.2015 12:00,7324
03.01.2015 12:00 - 03.01.2015 13:00,7390
03.01.2015 13:00 - 03.01.2015 14:00,7517
03.01.2015 14:00 - 03.01.2015 15:00,7700
03.01.2015 15:00 - 03.01.2015 16:00,7786
03.01.2015 16:00 - 03.01.2015 17:00,7985
03.01.2015 17:00 - 03.01.2015 18:00,8029
03.01.2015 18:00 - 03.01.2015 19:00,8169
03.01.2015 19:00 - 03.01.2015 20:00,8135
03.01.2015 20:00 - 03.01.2015 21:00,7827
03.01.2015 21:00 - 03.01.2015 22:00,7370
03.01.2015 22:00 - 03.01.2015 23:00,7137
03.01.2015 23:00 - 04.01.2015 00:00,7093
04.01.2015 00:00 - 04.01.2015 01:00,6951
04.01.2015 01:00 - 04.01.2015 02:00,7047
04.01.2015 02:00 - 04.01.2015 03:00,6996
04.01.2015 03:00 - 04.01.2015 04:00,6842
04.01.2015 04:00 - 04.01.2015 05:00,6671
04.01.2015 05:00 - 04.01.2015 06:00,6533
